SUP_FAM	CHR	START	END	FAM	COL6	COL7
HB	3L	17572614	17573211	DNA/TcMar-Tc1	6	1532
HMS-Beagle2	3L	17574743	17574911	LTR/Gypsy	1532	16467
Tabor	3L	17591378	17593863	LTR/Gypsy	1	194848
I	3L	17788711	17790487	LINE/I	194848	106979
mdg3	3L	17897466	17902984	LTR/Gypsy	-11	277109
ambiguous	3L	18180093	18180296	LTR/Gypsy	277109	815
rover	3L	18356278	18363749	LTR/Gypsy	-247	61728
297	3L	18425477	18431450	LTR/Gypsy	-10	9634
invader1	3L	18441084	18445093	LTR/Gypsy	9634	67176
S	3L	18512269	18512826	LTR/Gypsy	42	6740
Burdock	3L	18519566	18525982	LTR/Gypsy	131	63569
jockey	3L	18589551	18592113	LINE/I-Jockey	-18	55221
copia	3L	18647334	18652478	LTR/Copia	55221	153783
gypsy2	3L	18806261	18807673	LTR/Gypsy	19	38999
jockey	3L	18846672	18851704	LINE/I-Jockey	38999	1387
BS	3L	18853091	18858206	LINE/I-Jockey	4	61507
Cr1a	3L	18919713	18920395	LINE/CR1	-265	56219
pogo	3L	19127299	19128450	DNA/TcMar-Pogo	-8	18497
1360	3L	19146947	19148063	DNA/P	-22	265998
I	3L	19414061	19419438	LINE/I	265998	1486
17.6	3L	19420924	19428425	LTR/Gypsy	1486	184314
1360	3L	19612739	19614239	LTR/Gypsy	-58	94678
mdg1	3L	19721478	19729305	LTR/Gypsy	1	47691
297	3L	19776996	19783990	LTR/Gypsy	-16	2670
X	3L	19786660	19786703	LINE/I-Jockey	2670	11897
Cr1a	3L	19798600	19800590	LINE/CR1	-988	19244
roo	3L	19853549	19862646	LTR/Pao	-1	219684
FB	3L	20082330	20084629	DNA/TcMar-Tc1	-269	57690
ambiguous	3L	20142319	20142580	LINE/R1	57690	916
Cr1a	3L	20143496	20146398	LINE/CR1	916	174542
invader3	3L	20320940	20321195	LTR/Gypsy	174542	23134
F-element	3L	20344329	20349021	LINE/I-Jockey	23134	102601
roo	3L	20451622	20460672	LTR/Pao	-1	52207
opus	3L	20512879	20520494	LTR/Gypsy	1	15098
Burdock	3L	20535592	20537884	LTR/Gypsy	131	8708
pogo	3L	20546592	20547663	DNA/TcMar-Pogo	1	64991
pogo	3L	20651152	20652593	DNA/TcMar-Pogo	-4	129842
F-element	3L	21009100	21012808	LINE/I-Jockey	13872	39005
Ivk	3L	21051813	21057165	LINE/I	1	55116
I	3L	21207596	21212973	LINE/I	20088	112479
FB	3L	21325452	21328333	DNA/TcMar-Tc1	-522	145262
jockey	3L	21473595	21475329	LINE/I-Jockey	145262	632
hopper	3L	21475961	21477401	DNA/CMC-Transib	632	157640
G2	3L	21635041	21635935	LINE/I-Jockey	157640	4662
G2	3L	21640597	21641491	LINE/I-Jockey	4662	52219
Tc1	3L	21708491	21709042	DNA/TcMar-Tc1	14708	43034
Cr1a	3L	21752076	21755682	LINE/CR1	1	10771
1360	3L	21766453	21766553	DNA/P	10771	57578
ambiguous	3L	21824131	21824979	LTR/Gypsy	1	88073
1360	3L	21996792	21996861	DNA/P	83693	33051
G2	3L	22029912	22030059	LINE/I-Jockey	33051	112142
invader2	3L	22142201	22142466	LTR/Gypsy	112142	54546
1360	3L	22197012	22197118	DNA/P	-40	16322
hopper2	3L	22213440	22213770	DNA/CMC-Transib	65	5865
roo	3L	22219635	22220019	LTR/Pao	27	75292
HB	3L	22331452	22331514	DNA/TcMar-Tc1	36087	13113
Idefix	3L	22344627	22344865	LTR/Gypsy	13113	13637
I	3L	22358502	22363877	LINE/I	13637	889
Quasimodo	3L	22364766	22371782	LTR/Gypsy	-7	160297
H	3L	22532079	22532369	DNA/hAT-hobo	160297	47189
ambiguous	3L	22579558	22585882	LTR/Gypsy	-8	31321
copia	3L	22617203	22622341	LTR/Copia	31321	1116
hobo	3L	22623457	22626437	DNA/hAT-hobo	1116	NA
HB	3R	5519523	5521160	DNA/TcMar-Tc1	8	7721
I	3R	5528881	5528986	LINE/I	7721	68263
G4	3R	5597249	5597729	LINE/I-Jockey	68263	69128
Transpac	3R	5666857	5672104	LTR/Gypsy	1	36280
G5A	3R	5708384	5708665	DNA/P	36280	134385
I	3R	5843050	5848426	LINE/I	134385	43564
ambiguous	3R	5916677	5917126	LTR/Gypsy	24396	35982
mdg3	3R	5953108	5958626	LTR/Gypsy	-11	21862
1360	3R	5980488	5981641	DNA/P	21862	3216
G5	3R	5984857	5987997	LINE/I-Jockey	353	22035
FB	3R	6010032	6010093	DNA/TcMar-Tc1	22035	23053
roo	3R	6033146	6042352	LTR/Pao	-1	74288
blood	3R	6116640	6124052	LTR/Gypsy	84	28223
copia	3R	6152275	6157419	LTR/Copia	28223	17798
G5A	3R	6175217	6175392	DNA/P	17798	143301
copia	3R	6318693	6323787	LTR/Copia	-207	75637
X-element	3R	6399424	6400004	LINE/I-Jockey	75637	4513
roo	3R	6404517	6413703	LTR/Pao	-1	10757
S-element	3R	6424460	6424605	LTR/Gypsy	10757	29295
X	3R	6453900	6454101	LINE/I-Jockey	29295	87505
R1A1	3R	6541606	6541798	LINE/R1	87505	51124
Rt1b	3R	6592922	6595168	LINE/R1	51124	11986
3S18	3R	6607154	6613280	LTR/Pao	1	29868
S	3R	6643148	6643496	DNA/TcMar-Tc1	29868	60326
pogo	3R	6703822	6704972	DNA/TcMar-Pogo	-8	26563
Burdock	3R	6731535	6737952	LTR/Gypsy	137	131998
G4	3R	6869950	6870485	LINE/I-Jockey	20	20164
X	3R	7012540	7012701	LINE/I-Jockey	772	52158
roo	3R	7064859	7073963	LTR/Pao	-1	4718
I	3R	7078681	7079461	LINE/I	4718	139896
roo	3R	7219357	7226266	LTR/Pao	0	41907
G5A	3R	7268173	7268260	LINE/I-Jockey	41907	19999
G4	3R	7288259	7288662	LINE/I-Jockey	19999	9255
HB	3R	7347551	7348497	DNA/TcMar-Tc1	22	76392
mdg1	3R	7424889	7432246	LTR/Gypsy	1	132715
micropia	3R	7564961	7570370	LTR/Gypsy	-3	1899
mdg1	3R	7572269	7575571	LTR/Gypsy	-11	14244
roo	3R	7589815	7598901	LTR/Pao	-1	99143
X-element	3R	7698044	7698747	LINE/I-Jockey	99143	3338
BS	3R	7704478	7704597	LINE/I-Jockey	1633	23413
FB	3R	7728010	7729796	DNA/TcMar-Tc1	1	16499
mdg1	3R	7773623	7781086	LTR/Gypsy	-17	18214
F-element	3R	7799300	7803444	LINE/I-Jockey	18214	72819
HB	3R	7876263	7876629	DNA/TcMar-Tc1	22	586
micropia	3R	7879218	7879690	LTR/Pao	-151	29110
hobo	3R	7908800	7911807	DNA/hAT-hobo	29110	22425
invader3	3R	7934232	7958416	LTR/Gypsy	-26	15883
ambiguous	3R	7974299	7982191	LTR/Gypsy	1	28539
roo	3R	8010730	8019827	LTR/Pao	-1	53264
invader3	3R	8073091	8073393	LTR/Gypsy	53264	30187
1360	3R	8103580	8104728	DNA/P	-65	27643
hobo	3R	8132371	8135387	DNA/hAT-hobo	27643	94875
1360	3R	8230262	8231292	DNA/P	-49	68337
G2	3R	8358739	8361766	LINE/I-Jockey	5	102770
F-element	3R	8464536	8465321	LINE/I-Jockey	102770	31520
Tc1-2	3R	8496841	8496947	DNA/TcMar-Tc1	31520	21618
1360	3R	8518565	8518669	DNA/P	21618	54946
ambiguous	3R	8573615	8581279	LTR/Gypsy	1	162161
ambiguous	3R	8743440	8748399	LINE/R1	-10	29577
297	3R	8777976	8784332	LTR/Gypsy	-3	54748
jockey	3R	8839080	8839424	LTR/Gypsy	54748	18430
opus	3R	8857854	8865363	LTR/Gypsy	1	234435
opus	3R	9099798	9102498	LTR/Gypsy	1	20084
297	3R	9122582	9129497	LTR/Gypsy	-16	30325
FB	3R	9167827	9169395	DNA/TcMar-Tc1	-269	176307
Doc	3R	9345702	9350394	LINE/I-Jockey	176307	21435
hobo	3R	9371829	9374845	DNA/hAT-hobo	21435	171601
Rt1a	3R	9546446	9551620	LINE/R1	171601	20553
ambiguous	3R	9572173	9579412	LTR/Gypsy	1	7819
jockey	3R	9587231	9587594	LTR/Gypsy	7819	41873
pogo	3R	9629467	9629656	DNA/TcMar-Pogo	10	254256
roo	3R	9883912	9892809	LTR/Pao	-1	255066
roo	3R	10147875	10155729	LTR/Pao	-1	68487
Ivk	3R	10224216	10229564	LINE/I	1	199745
Juan	3R	10546547	10550181	LINE/I-Jockey	117186	21281
297	3R	10571462	10576949	LTR/Gypsy	-15	22106
pogo	3R	10599055	10599244	DNA/TcMar-Pogo	10	83020
hobo	3R	10695369	10698349	DNA/hAT-hobo	13050	241467
I-element	3R	10939816	10939862	LINE/I	241467	129113
17.6	3R	11068975	11076474	LTR/Gypsy	129113	86870
1360	3R	11163344	11163543	DNA/P	86870	21510
H	3R	11185053	11185327	DNA/hAT-hobo	49	37371
Rt1b	3R	11222698	11227994	LINE/R1	37371	1526
transib2	3R	11229520	11229562	DNA/CMC-Transib	1526	100819
297	3R	11330381	11335979	LTR/Gypsy	-28	34839
roo	3R	11370818	11379978	LTR/Pao	-1	13752
opus	3R	11393730	11401335	LTR/Gypsy	1	186662
pogo	3R	11587997	11588186	DNA/TcMar-Pogo	10	141974
17.6	3R	11730160	11730676	LTR/Gypsy	141974	22023
297	3R	11752699	11759691	LTR/Gypsy	-566	83737
jockey	3R	11843428	11848456	LINE/I-Jockey	83737	5303
G5	3R	11853759	11854042	LINE/I-Jockey	5303	193831
springer	3R	12047873	12055425	LTR/Gypsy	2	65522
Transpac	3R	12120947	12126194	LTR/Gypsy	1	79163
micropia	3R	12205357	12210845	LTR/Gypsy	-3	44670
S	3R	12255515	12255741	LTR/Gypsy	44670	664
S-element	3R	12256405	12256637	LTR/Gypsy	664	378571
roo	3R	12872989	12882024	LTR/Pao	1	54320
H	3R	12936344	12936776	DNA/hAT-hobo	298	191093
BS	3R	13127869	13127928	LINE/I-Jockey	191093	305296
roo	3R	13433224	13440919	LTR/Pao	0	24078
F-element	3R	13464997	13469693	LINE/I-Jockey	24078	4635
F-element	3R	13474328	13476333	LINE/I-Jockey	4635	194555
hobo	3R	13670888	13673895	DNA/hAT-hobo	1	49296
I-element	3R	13723191	13723514	LINE/I	49296	104962
flea	3R	13828476	13830461	LTR/Gypsy	20	119073
mdg1	3R	13949534	13956643	LTR/Gypsy	-11	109888
S-element	3R	14066531	14066843	DNA/TcMar-Tc1	109888	3873
FB	3R	14070716	14079782	DNA/TcMar-Tc1	-359	121312
pogo	3R	14201094	14201283	DNA/TcMar-Pogo	10	443422
jockey	3R	14644705	14645047	LTR/Gypsy	443422	256865
FB	3R	15024943	15025751	DNA/TcMar-Tc1	1	18437
pogo	3R	15412661	15412850	DNA/TcMar-Pogo	10	22505
412	3R	15435355	15442552	LTR/Gypsy	1	22358
Juan	3R	15464910	15467898	LINE/I-Jockey	-19	4312
412	3R	15929426	15936890	LTR/Gypsy	1	10102
blood	3R	15946992	15954408	LTR/Gypsy	39	109066
F-element	3R	16063474	16068169	LINE/I-Jockey	109066	202528
F-element	3R	16270697	16274120	LINE/I-Jockey	202528	56837
G5	3R	16330957	16331057	LINE/I-Jockey	56837	36725
BS	3R	16367782	16367881	LINE/I-Jockey	36725	67205
pogo	3R	16435086	16435272	DNA/TcMar-Pogo	10	238503
Quasimodo	3R	16673775	16681150	LTR/Gypsy	238503	159105
FB	3R	16840255	16842743	DNA/TcMar-Tc1	-358	289668
jockey	3R	17132411	17132694	LINE/I-Jockey	289668	1076
X	3R	17133770	17133890	LINE/I-Jockey	1076	160863
Ivk	3R	17294753	17300134	LINE/I	1	31396
Cr1a	3R	17331530	17331810	LINE/CR1	31396	3941
Cr1a	3R	17335751	17336031	LINE/CR1	3941	250895
hopper	3R	17586926	17588309	DNA/CMC-Transib	1	156530
S-element	3R	17744839	17746581	DNA/TcMar-Tc1	156530	17405
roo	3R	17763986	17771686	LTR/Pao	1	2930
pogo	3R	17774616	17775844	DNA/TcMar-Pogo	-4	73566
copia	3R	17849410	17854556	LTR/Copia	73566	252471
ambiguous	3R	18107027	18107455	LTR/Pao	252471	218296
roo	3R	18325751	18334949	LTR/Pao	-1	204307
HMS-Beagle	3R	18539256	18539457	LTR/Gypsy	204307	199911
F-element	3R	18739368	18741680	LINE/I-Jockey	199911	323464
1360	3R	19065144	19065236	DNA/P	323464	527
1360	3R	19065763	19065806	DNA/P	527	15586
Doc	3R	19081392	19085706	LINE/I-Jockey	15586	27470
Burdock	3R	19164563	19167142	LTR/Gypsy	137	43295
jockey	3R	19210437	19210793	LINE/I-Jockey	43295	70647
S2	3R	19281440	19281828	DNA/TcMar-Tc1	1	4219
1360	3R	19286047	19286301	DNA/P	-4	206257
H	3R	19492558	19492702	DNA/hAT-hobo	206257	8338
Bari1	3R	19501040	19502788	DNA/TcMar-Tc1	8338	7713
FB	3R	19510501	19520366	DNA/TcMar-Tc1	-359	190647
Doc	3R	19711013	19715706	LINE/I-Jockey	190647	3219
I	3R	19718925	19724302	LINE/I	3219	112228
FB	3R	19836530	19840597	DNA/TcMar-Tc1	-270	34672
jockey	3R	19875269	19875635	LINE/I-Jockey	34672	13228
Doc	3R	19888863	19893555	LINE/I-Jockey	13228	73325
BS	3R	19966880	19966998	LINE/I-Jockey	73325	18145
opus	3R	19985143	19992255	LTR/Gypsy	1	9812
opus	3R	20002067	20009600	LTR/Gypsy	1	32980
1360	3R	20042580	20042689	DNA/P	32980	61248
mdg3	3R	20184443	20189959	LTR/Gypsy	-11	61083
FB	3R	20251042	20252898	Unknown	-30	3595
FB	3R	20256493	20259747	DNA/TcMar-Tc1	-269	24738
Juan	3R	20284485	20284703	LINE/I-Jockey	24738	111429
FB	3R	20396132	20396273	DNA/TcMar-Tc1	9	96620
H	3R	20492893	20493438	DNA/hAT-hobo	50	156945
FB	3R	20650383	20654906	DNA/TcMar-Tc1	-359	27356
jockey	3R	20682262	20682295	LINE/I-Jockey	27356	172768
roo	3R	20855063	20864070	LTR/Pao	-23	22970
Doc	3R	20887040	20890325	LINE/I-Jockey	22970	4502
BS	3R	20894827	20895567	LINE/I-Jockey	4502	158196
X-element	3R	21053763	21058488	LINE/I-Jockey	2	120161
roo	3R	21178649	21187646	LTR/Pao	1	56562
Cr1a	3R	21244208	21244550	LINE/CR1	56562	116549
mdg3	3R	21361099	21366617	LTR/Gypsy	1	22510
Juan	3R	21389127	21389297	LINE/I-Jockey	22510	608209
FB	3R	21997506	21999800	DNA/TcMar-Tc1	-268	47817
Juan	3R	22047617	22048119	LINE/I-Jockey	47817	48699
mdg3	3R	22096818	22102336	LTR/Gypsy	-11	100734
jockey	3R	22203070	22203936	LINE/I-Jockey	100734	2423
G2	3R	22206359	22207589	LINE/I-Jockey	2423	151224
Doc	3R	22358813	22359407	LINE/I-Jockey	151224	79930
FB	3R	22454291	22458137	DNA/TcMar-Tc1	-358	43753
roo	3R	22501890	22510981	LTR/Pao	-1	32038
Burdock	3R	22543019	22545310	LTR/Gypsy	131	63790
jockey	3R	22609100	22611590	LINE/I-Jockey	63790	15067
pogo	3R	22626657	22628783	DNA/TcMar-Pogo	15067	14832
F-element	3R	22643615	22648308	LINE/I-Jockey	14832	24196
hobo	3R	22736330	22739307	DNA/hAT-hobo	53342	36307
ambiguous	3R	22775614	22776048	LTR/Pao	36307	220778
Rt1a	3R	22996826	22997095	LINE/R1	220778	163283
1360	3R	23160378	23160665	DNA/P	-31	611118
Rt1a	3R	23771783	23772839	LINE/R1	611118	18751
Burdock	3R	23791590	23793866	LTR/Gypsy	137	191924
Rt1b	3R	23985790	23989833	LINE/R1	12	49411
jockey	3R	24039244	24039607	LTR/Gypsy	49411	259433
297	3R	24299040	24305212	LTR/Gypsy	1	188933
roo	3R	24494145	24503254	LTR/Pao	-1	371521
hobo	3R	24874775	24877755	DNA/hAT-hobo	371521	4184
3S18	3R	24881939	24888068	LTR/Pao	1	43324
BS	3R	24931392	24931513	LINE/I-Jockey	43324	73630
mdg1	3R	25005143	25012505	LTR/Gypsy	1	27538
pogo	3R	25040043	25040231	DNA/TcMar-Pogo	7	220083
Doc	3R	25762058	25766582	LINE/I-Jockey	501549	103306
H	3R	25869888	25869922	DNA/hAT-hobo	103306	62266
Max-element	3R	26524656	26533252	LTR/Pao	1	102771
297	3R	26636023	26641901	LTR/Gypsy	-13	61310
hobo	3R	26703211	26706215	DNA/hAT-hobo	61310	3880
I	3R	26710095	26710699	LINE/I	3880	89503
roo	3R	26800202	26809304	LTR/Pao	-1	84842
412	3R	26894146	26901712	LTR/Gypsy	-15	40241
roo	3R	26941953	26950955	LTR/Pao	-1	7419
FB	3R	26958374	26961470	DNA/TcMar-Tc1	-268	31421
ambiguous	3R	26992891	27000145	LTR/Gypsy	1	92868
mdg1	3R	27093013	27100393	LTR/Gypsy	1	126163
Burdock	3R	27226556	27232969	LTR/Gypsy	131	21362
FB	3R	27254331	27257922	DNA/TcMar-Tc1	-360	81892
FB	3R	27339814	27343406	DNA/TcMar-Tc1	-360	80023
FB	3R	27423429	27425123	DNA/TcMar-Tc1	1	504490
roo	3R	27929613	27938704	LTR/Pao	-1	23292
roo	3R	27961996	27971146	LTR/Pao	-1	79526
H	3R	28050672	28050802	DNA/hAT-hobo	79526	176926
Rt1b	3R	28227728	28230802	LINE/R1	176926	50438
copia	3R	28281240	28286387	LTR/Copia	50438	234867
hopper	3R	28521254	28522691	DNA/CMC-Transib	234867	37017
blood	3R	28559708	28567119	LTR/Gypsy	84	1698
Transpac	3R	28568817	28574064	LTR/Gypsy	1	40077
jockey	3R	28614141	28616038	LINE/I-Jockey	40077	106730
jockey	3R	28722768	28723109	LINE/I-Jockey	106730	38445
412	3R	28761554	28769079	LTR/Gypsy	1	28382
roo	3R	28797461	28806309	LTR/Pao	-30	32735
Rt1a	3R	28839044	28842309	LINE/R1	32735	32361
mdg1	3R	28874670	28878535	LTR/Gypsy	1	9434
3S18	3R	28887969	28894095	LTR/Pao	1	152012
jockey	3R	29046107	29046223	LINE/I-Jockey	152012	29429
Doc	3R	29075652	29076420	LINE/I-Jockey	29429	229964
roo	3R	29306384	29315482	LTR/Pao	-1	132009
roo	3R	29447491	29456590	LTR/Pao	-1	2358
I	3R	29458948	29464325	LINE/I	2358	13092
S	3R	29477417	29477863	DNA/TcMar-Tc1	13092	300192
Transpac	3R	29778055	29783303	LTR/Gypsy	1	30591
hobo	3R	29813894	29816910	DNA/hAT-hobo	30591	4672
mdg1	3R	29821582	29828934	LTR/Gypsy	1	27078
297	3R	29856012	29861972	LTR/Gypsy	-566	10874
hobo	3R	29872846	29875862	DNA/hAT-hobo	10874	24668
hobo	3R	29900530	29903546	DNA/hAT-hobo	24668	15981
F-element	3R	29919527	29924223	LINE/I-Jockey	15981	211808
jockey	3R	30136031	30138394	LINE/I-Jockey	4	102219
invader2	3R	30240613	30240961	LTR/Unknown	102219	13909
jockey	3R	30254870	30255152	LINE/I-Jockey	13909	46058
412	3R	30301210	30308728	LTR/Gypsy	1	25156
Juan	3R	30333884	30334073	LINE/I-Jockey	25156	22065
S-element	3R	30356138	30357876	DNA/TcMar-Tc1	22065	56573
3S18	3R	30414449	30420575	LTR/Pao	1	142283
jockey	3R	30562858	30567889	LINE/I-Jockey	142283	60946
Transpac	3R	30628835	30634083	LTR/Gypsy	1	106074
ambiguous	3R	30740157	30741279	LTR/Gypsy	-26	77455
roo	3R	30818734	30826267	LTR/Pao	-1	50688
412	3R	30876955	30884522	LTR/Gypsy	-15	13112
roo	3R	30897634	30905841	LTR/Pao	-1	18262
baggins	3R	30924103	30924274	LINE/R1-LOA	18262	57621
jockey	3R	30981895	30984298	LINE/I-Jockey	1	68394
gypsy	3R	31052692	31052737	LTR/Gypsy	68394	145678
blood	3R	31198415	31205826	LTR/Gypsy	39	131889
1360	3R	31337715	31339245	DNA/P	37	182965
hobo	3R	31522210	31525226	DNA/hAT-hobo	182965	47083
I	3R	31572309	31573829	LINE/I	47083	23878
ambiguous	3R	31597707	31605254	LTR/Gypsy	2	20531
ambiguous	3R	31625785	31632819	LTR/Gypsy	20531	93942
flea	3R	31726761	31729971	LTR/Gypsy	0	226841
roo	3R	31956812	31965910	LTR/Pao	-1	NA
1360	X	225879	226024	DNA/P	16689	4454
hopper	X	320198	320326	DNA/CMC-Transib	89663	12030
G3	X	332356	332609	LINE/I-Jockey	12030	2910
roo	X	335519	351661	LTR/Pao	1	16910
roo	X	368571	377682	LTR/Pao	-1	17463
Burdock	X	395145	397721	LTR/Gypsy	131	251434
roo	X	649155	658253	LTR/Pao	-1	75154
roo	X	733407	742484	LTR/Pao	-1	320918
1360	X	1063402	1063576	LTR/Gypsy	33	4250
FB	X	1067826	1068099	DNA/TcMar-Tc1	-1	3454
baggins	X	1071553	1071840	LINE/R1-LOA	31	70299
opus	X	1142139	1149741	LTR/Gypsy	1	66678
412	X	1216419	1223926	LTR/Gypsy	-15	92878
Doc	X	1316804	1321493	LINE/I-Jockey	92878	91875
opus	X	1413368	1420881	LTR/Gypsy	1	140396
1360	X	1561277	1561562	DNA/P	20	3900
jockey	X	1565462	1567805	LINE/I-Jockey	3900	85489
roo	X	1653294	1653721	LTR/Pao	85489	129316
Rt1b	X	1783037	1784029	LINE/R1	129316	70878
ambiguous	X	2121031	2128097	LTR/Gypsy	266083	231747
pogo	X	2359844	2360033	DNA/TcMar-Pogo	10	67429
G5A	X	2427462	2427921	DNA/P	67429	87355
roo	X	2515276	2523921	LTR/Pao	-1	50999
roo	X	2574920	2584008	LTR/Pao	-1	47423
roo	X	2631431	2640539	LTR/Pao	-1	126950
I	X	2767489	2769708	LINE/I	126950	17883
Ivk	X	2787591	2792944	LINE/I	89	10109
BS	X	2803053	2805873	LINE/I-Jockey	4	7530
FB	X	2813403	2814775	DNA/TcMar-Tc1	-359	12799
FB	X	2827574	2831321	DNA/TcMar-Tc1	-358	33609
roo	X	2864930	2873739	LTR/Pao	-1	11187
roo	X	2884926	2894025	LTR/Pao	-1	224806
Burdock	X	3118831	3119110	LTR/Gypsy	224806	22904
mdg1	X	3142014	3149464	LTR/Gypsy	1	73120
I	X	3222584	3227961	LINE/I	73120	24548
297	X	3252509	3252923	LTR/Gypsy	24548	25881
roo	X	3278804	3287827	LTR/Pao	-1	24696
hobo	X	3312523	3315503	DNA/hAT-hobo	24696	11870
hobo	X	3327373	3330353	DNA/hAT-hobo	11870	26549
S2	X	3458726	3458812	LTR/Gypsy	93895	18127
gypsy	X	3476939	3477080	LTR/Gypsy	18127	4751
micropia	X	3481831	3487319	LTR/Gypsy	-3	30848
hopper	X	3518167	3519587	DNA/CMC-Transib	-821	50631
opus	X	3570218	3577829	LTR/Gypsy	1	38005
roo	X	3615834	3623917	LTR/Pao	1	77645
297	X	3701562	3701759	LTR/Gypsy	77645	40626
1360	X	3742385	3742531	DNA/P	40626	1843
opus	X	3744374	3751868	LTR/Gypsy	1	24001
FB	X	3775869	3778750	DNA/TcMar-Tc1	-267	54336
invader1	X	3833086	3833530	LTR/Gypsy	54336	22468
FB	X	3855998	3859995	DNA/TcMar-Tc1	1	39510
X	X	3899505	3899591	LINE/I-Jockey	39510	81326
gypsy8	X	3980917	3981027	DNA/P	-4	163903
1360	X	4144930	4145032	DNA/P	163903	349919
Juan	X	4494951	4495003	LINE/I-Jockey	349919	214385
HMS-Beagle	X	4709388	4709648	LTR/Gypsy	214385	129185
roo	X	4838833	4846380	LTR/Pao	-2	33215
roo	X	4879595	4888714	LTR/Pao	-1	18122
412	X	4906836	4914359	LTR/Gypsy	22	58274
jockey	X	5183512	5185923	LINE/I-Jockey	-16	2711
roo	X	5188634	5197757	LTR/Pao	-1	301108
mdg1	X	5498865	5506341	LTR/Gypsy	-11	209732
jockey	X	5716073	5716183	LINE/I-Jockey	209732	47201
pogo	X	5763384	5763573	DNA/TcMar-Pogo	10	77920
roo	X	5841493	5849590	LTR/Pao	1	72883
G5A	X	5922473	5922707	LINE/I-Jockey	-4	148725
F-element	X	6071432	6076123	LINE/I-Jockey	148725	104519
Doc	X	6180642	6181654	LINE/I-Jockey	104519	141272
297	X	6466833	6482941	LTR/Gypsy	-566	69206
FB	X	6552147	6554236	DNA/TcMar-Tc1	1	203248
Quasimodo	X	6757484	6765964	LTR/Gypsy	203248	29164
1360	X	6795128	6795278	DNA/P	29164	672
1360	X	6795950	6796288	DNA/P	23	184595
pogo	X	6980883	6981072	DNA/TcMar-Pogo	10	9045
G5A	X	6990117	6990325	DNA/P	9045	62126
jockey	X	7500136	7501580	LINE/I-Jockey	447565	24691
I	X	7526271	7528229	LINE/I	-18	102680
FB	X	7630909	7633430	DNA/TcMar-Tc1	1	93347
jockey	X	7726777	7727154	LINE/I-Jockey	93347	80966
jockey	X	7808120	7808360	LINE/I-Jockey	80966	18540
roo	X	7826900	7834093	LTR/Pao	-6	45871
hobo	X	7879964	7882944	DNA/hAT-hobo	45871	39934
297	X	7922878	7925732	LTR/Gypsy	18	141129
297	X	8066861	8071340	LTR/Gypsy	-42	10376
297	X	8081716	8082550	LTR/Gypsy	-24	148972
297	X	8231522	8234567	LTR/Gypsy	-566	19404
297	X	8253971	8256937	LTR/Gypsy	1	118406
ambiguous	X	8375343	8375773	LTR/Pao	118406	34729
ambiguous	X	8410502	8417647	LTR/Gypsy	2	100958
HB	X	8518605	8519203	DNA/TcMar-Tc1	4	186073
hobo	X	8705276	8708256	DNA/hAT-hobo	186073	133695
roo	X	8841951	8850946	LTR/Pao	-1	75723
412	X	8926669	8934120	LTR/Gypsy	-15	52668
jockey	X	8986788	8987313	LINE/I-Jockey	52668	10690
flea	X	8998003	9001837	LTR/Gypsy	1	6219
FB	X	9008056	9010140	DNA/TcMar-Tc1	-269	92271
opus	X	9102411	9109713	LTR/Gypsy	1	314522
Rt1b	X	9424235	9426510	LINE/R1	314522	154860
roo	X	9581370	9590576	LTR/Pao	-1	26688
jockey	X	9617264	9622299	LINE/I-Jockey	26688	151620
Quasimodo	X	9786302	9793677	LTR/Gypsy	11573	185460
diver	X	9979137	9985269	LTR/Pao	1	7234
jockey	X	9992503	9997508	LINE/I-Jockey	7234	19614
jockey	X	10017122	10017893	LINE/I-Jockey	19614	45751
jockey	X	10063644	10068675	LINE/I-Jockey	45751	139894
1360	X	10208569	10209588	DNA/P	-63	73882
mdg3	X	10283470	10300011	LTR/Gypsy	1	2649
opus	X	10302660	10310278	LTR/Gypsy	1	5935
roo	X	10316213	10323398	LTR/Pao	-6	200654
roo	X	10524052	10533251	LTR/Pao	-1	6409
jockey	X	10539660	10539918	LINE/I-Jockey	6409	1224
flea	X	10541142	10546170	LTR/Gypsy	0	2589
Quasimodo	X	10548759	10555895	LTR/Gypsy	1	16838
pogo	X	10572733	10572921	DNA/TcMar-Pogo	7	93405
F-element	X	10666326	10671023	LINE/I-Jockey	93405	708127
hopper	X	11379150	11380601	DNA/CMC-Transib	708127	12229
roo	X	11392830	11402024	LTR/Pao	-1	173273
opus	X	11575297	11582826	LTR/Gypsy	1	102529
pogo	X	11685355	11685732	DNA/TcMar-Pogo	1	25656
Tom1	X	11711388	11711732	LTR/Gypsy	22	9944
Juan	X	11721676	11724649	LINE/I-Jockey	9944	9829
Tabor	X	12271429	12278806	LTR/Gypsy	1	3131
ambiguous	X	12281937	12286468	LTR/Copia	3131	31657
GATE	X	12318125	12325902	LTR	1	12439
ambiguous	X	12338341	12342084	LINE/R1	1	10903
R2-element	X	12352987	12354085	LINE/R2	10903	13234
ambiguous	X	12421261	12431537	LINE/R1	-54	17569
R1A1-element	X	12449106	12498437	LINE/R1	257	12251
jockey	X	12510688	12511051	LINE/I-Jockey	12251	5059
jockey	X	12516110	12516472	LINE/I-Jockey	5059	10090
jockey	X	12526562	12526924	LINE/I-Jockey	10090	37957
diver	X	12564881	12571016	LTR/Pao	1	151212
ambiguous	X	12795552	12795981	LTR/Pao	43745	29660
